City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Vardo,NO,2022-02-09 18:46:42,70.3705,31.1107,26.8,80,100,13.8
98,Dalmeny,CA,2022-02-09 18:46:42,52.3334,-106.7679,31.91,93,100,5.75
99,Thanh Hoa,VN,2022-02-09 18:42:25,19.8,105.7667,61.54,91,100,3.0
100,San Patricio,US,2022-02-09 18:46:43,28.017,-97.5169,71.69,33,0,2.62
101,Kotka,FI,2022-02-09 18:44:19,60.4664,26.9458,33.33,96,100,18.54
102,Avarua,CK,2022-02-09 18:46:44,-21.2078,-159.775,78.85,89,20,1.14
103,Pisco,PE,2022-02-09 18:46:44,-13.7,-76.2167,75.02,83,0,10.36
104,Coquimbo,CL,2022-02-09 18:46:26,-29.9533,-71.3436,69.01,70,16,6.87
105,Ivanovka,KG,2022-02-09 18:46:45,42.8878,75.085,16.23,68,45,4.34
106,Bar Harbor,US,2022-02-09 18:43:09,44.3876,-68.2039,40.98,62,0,5.99
107,Santa Cruz Del Sur,CU,2022-02-09 18:46:45,20.7147,-77.9956,82.87,59,4,10.51
108,Bengkulu,ID,2022-02-09 18:46:46,-3.8004,102.2655,76.68,71,100,7.45
109,Mayo,US,2022-02-09 18:46:46,38.8876,-76.5119,58.19,56,0,14.97
110,Altenholz,DE,2022-02-09 18:46:47,54.4,10.1333,45.03,87,100,13.8
111,Lipari,IT,2022-02-09 18:46:47,38.4674,14.954,55.78,58,0,11.1
112,College,US,2022-02-09 18:46:48,64.8569,-147.8028,-6.41,75,100,4.61
113,Huarmey,PE,2022-02-09 18:46:49,-10.0681,-78.1522,75.45,69,100,9.93
114,Takoradi,GH,2022-02-09 18:46:49,4.8845,-1.7554,79.81,82,5,9.28
115,Castle Rock,US,2022-02-09 18:46:50,39.3722,-104.8561,50.14,30,84,7.0
116,Castro,BR,2022-02-09 18:46:50,-24.7911,-50.0119,73.47,65,7,2.44
117,Fukue,JP,2022-02-09 18:46:51,32.6881,128.8419,49.71,65,100,8.99
118,Ambanja,MG,2022-02-09 18:46:51,-13.6833,48.45,75.85,93,99,2.86
119,Bambous Virieux,MU,2022-02-09 18:46:52,-20.3428,57.7575,77.25,83,40,4.61
120,Provideniya,RU,2022-02-09 18:46:52,64.3833,-173.3,-16.69,84,13,5.99
121,Tuktoyaktuk,CA,2022-02-09 18:46:52,69.4541,-133.0374,-31.0,68,75,14.97
122,Lompoc,US,2022-02-09 18:45:53,34.6391,-120.4579,83.57,29,0,5.75
123,Kupang,ID,2022-02-09 18:46:53,-10.1667,123.5833,78.78,84,100,2.1
124,Kimbe,PG,2022-02-09 18:46:53,-5.5502,150.1429,75.96,93,83,2.77
125,Saint Anthony,US,2022-02-09 18:46:54,45.0205,-93.218,35.44,72,100,17.27
126,Qaanaaq,GL,2022-02-09 18:46:54,77.484,-69.3632,-20.99,78,99,4.52
127,Beloha,MG,2022-02-09 18:46:54,-25.1667,45.05,74.16,82,0,4.76
128,Ilulissat,GL,2022-02-09 18:46:55,69.2167,-51.1,12.22,62,100,18.41
129,Ngunguru,NZ,2022-02-09 18:46:55,-35.6167,174.5,73.17,94,81,10.96
130,Victoria,HK,2022-02-09 18:45:53,22.2855,114.1577,62.94,83,100,5.99
131,Clyde River,CA,2022-02-09 18:46:56,70.4692,-68.5914,-19.97,76,100,26.46
132,East London,ZA,2022-02-09 18:46:56,-33.0153,27.9116,68.94,83,0,8.05
133,Tautira,PF,2022-02-09 18:46:57,-17.7333,-149.15,84.22,74,37,17.85
134,Roald,NO,2022-02-09 18:46:57,62.5833,6.1333,42.33,75,75,32.21
135,Moron,AR,2022-02-09 18:46:58,-34.6534,-58.6198,86.02,52,4,7.0
136,Houma,US,2022-02-09 18:43:21,29.5958,-90.7195,64.99,38,0,5.75
137,Nome,US,2022-02-09 18:46:58,64.5011,-165.4064,-9.33,77,100,11.5
138,Lakhnau,IN,2022-02-09 18:46:59,26.85,80.9167,57.18,94,75,3.44
139,Batticaloa,LK,2022-02-09 18:46:59,7.7102,81.6924,77.09,82,100,7.54
140,Mar Del Plata,AR,2022-02-09 18:45:07,-38.0023,-57.5575,78.82,69,0,12.66
141,Hamada,JP,2022-02-09 18:47:01,34.8833,132.0833,42.01,66,100,3.51
142,Fortuna,US,2022-02-09 18:43:10,40.5982,-124.1573,66.54,38,17,4.34
143,Dudinka,RU,2022-02-09 18:47:02,69.4058,86.1778,-3.39,97,100,18.84
144,La Ronge,CA,2022-02-09 18:47:02,55.1001,-105.2842,7.05,72,100,9.22
145,Samarai,PG,2022-02-09 18:47:03,-10.6167,150.6667,81.12,76,100,10.74
146,Lebu,CL,2022-02-09 18:47:03,-37.6167,-73.65,64.18,63,0,21.54
147,Sinnamary,GF,2022-02-09 18:47:03,5.3833,-52.95,79.03,83,31,10.11
148,Vaitape,PF,2022-02-09 18:47:04,-16.5167,-151.75,81.18,77,21,16.2
149,Ponta Do Sol,PT,2022-02-09 18:47:04,32.6667,-17.1,69.71,65,100,7.61
150,Karratha,AU,2022-02-09 18:47:05,-20.7377,116.8463,84.79,67,44,5.12
151,Atuona,PF,2022-02-09 18:47:05,-9.8,-139.0333,77.92,79,25,18.1
152,Itacarambi,BR,2022-02-09 18:47:06,-15.1022,-44.0919,86.29,58,81,2.42
153,Sindor,RU,2022-02-09 18:47:06,62.8629,51.8905,14.76,92,100,12.35
154,Plettenberg Bay,ZA,2022-02-09 18:47:07,-34.0527,23.3716,66.63,77,0,5.97
155,Ankazoabo,MG,2022-02-09 18:47:07,-22.2833,44.5167,73.31,83,63,6.22
156,Buin,CL,2022-02-09 18:47:07,-33.7333,-70.75,88.05,20,0,13.58
157,Bulawayo,ZW,2022-02-09 18:47:08,-20.15,28.5833,72.1,42,0,6.24
158,Maragogi,BR,2022-02-09 18:45:36,-9.0122,-35.2225,82.92,66,60,12.62
159,Ust-Kalmanka,RU,2022-02-09 18:47:09,52.1207,83.305,-9.06,100,99,1.66
160,Waddan,LY,2022-02-09 18:47:10,29.1614,16.139,53.35,55,83,13.4
161,Soyo,AO,2022-02-09 18:47:11,-6.1349,12.3689,80.65,80,10,10.42
