City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Broken Hill,AU,83.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
157,Buchanan,LR,76.96,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
164,Buluang,PH,83.93,broken clouds,13.3068,123.3425,Enon Beach Resort
166,Antalaha,MG,83.26,light rain,-14.9003,50.2788,Hotel Vitasoa
167,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
168,Kalmunai,LK,84.0,moderate rain,7.4167,81.8167,VS Villa
170,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
176,Atuona,PF,78.08,light rain,-9.8,-139.0333,Villa Enata
178,Ambovombe,MG,83.95,few clouds,-25.1667,46.0833,RELAHARA
180,Kavieng,PG,81.84,moderate rain,-2.5744,150.7967,Nusa Island Retreat
182,Sassandra,CI,80.02,light rain,4.95,-6.0833,la terrasse
185,Luganville,VU,81.66,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
196,Nsoko,SZ,88.29,clear sky,-27.0333,31.95,
199,Kawalu,ID,84.65,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
202,Souillac,MU,80.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
207,Morondava,MG,84.29,light rain,-20.2833,44.2833,La Case Bambou
210,Khurda,IN,78.71,clear sky,20.1833,85.6167,Bagbaan Villa
212,Sao Filipe,CV,76.21,overcast clouds,14.8961,-24.4956,Hotel Xaguate
219,Upington,ZA,88.18,clear sky,-28.4478,21.2561,River Place Manor
221,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
223,Kinablangan,PH,81.45,clear sky,7.6947,126.5503,Morales Eatery and Lodging House
224,Geraldton,AU,84.61,few clouds,-28.7667,114.6,Broadwater Mariner Resort
234,Labuhan,ID,82.69,overcast clouds,-6.8844,112.2051,DoubleFAG
235,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
240,Galle,LK,83.64,moderate rain,6.0367,80.217,Amangalla
241,Sungaipenuh,ID,76.95,moderate rain,-2.0833,101.3833,penginapan citra alam
243,Santa Rosa,PH,85.1,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
246,Bengkulu,ID,84.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
248,Sao Jose Da Coroa Grande,BR,79.16,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
250,Quang Ngai,VN,76.68,overcast clouds,15.1167,108.8,Central Hotel
253,Faanui,PF,81.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
257,Nayudupeta,IN,86.88,clear sky,13.9,79.9,Hotel Manju
261,Manokwari,ID,80.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
262,Bowen,AU,81.7,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
266,Domoni,KM,78.73,moderate rain,-12.2569,44.5319,Al Djadid
267,Alofi,NU,81.57,overcast clouds,-19.0595,-169.9187,Taloa Heights
270,Loa Janan,ID,76.19,overcast clouds,-0.583,117.095,Kost bu jono
272,Champerico,GT,80.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
273,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
274,Hobyo,SO,81.43,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
280,Puro,PH,81.99,overcast clouds,12.4841,123.3827,
284,Turbo,CO,76.89,overcast clouds,8.0937,-76.7269,Hotel Plaza Manfortt
286,Coffs Harbour,AU,76.96,broken clouds,-30.3,153.1333,Aquajet Motel
293,Birao,CF,77.95,few clouds,10.2849,22.7882,
301,Bintulu,MY,79.88,overcast clouds,3.1667,113.0333,900 Boutique INN
307,Biak,ID,81.46,overcast clouds,-0.9131,122.8766,Penginapan Kim
309,Bealanana,MG,78.12,overcast clouds,-14.55,48.7333,
311,Dharmabad,IN,83.37,clear sky,18.9,77.85,Ismail khan
314,Cap Malheureux,MU,81.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
317,Alyangula,AU,86.65,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
318,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
