City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Bredasdorp,ZA,-34.5322,20.0403,73.27,44,0,1.9,clear sky
111,Namibe,AO,-15.1961,12.1522,77.22,65,97,0.85,overcast clouds
112,Port Elizabeth,ZA,-33.918,25.5701,73.96,62,0,4.45,clear sky
113,Asyut,EG,27.181,31.1837,48.38,44,4,10.45,clear sky
114,Dingle,PH,10.9995,122.6711,81.34,74,99,13.09,light rain
115,Leh,IN,34.1667,77.5833,4.1,78,17,2.17,few clouds
116,Saint Anthony,US,45.0205,-93.218,38.14,85,100,11.5,overcast clouds
117,Pevek,RU,69.7008,170.3133,-24.02,97,100,7.45,overcast clouds
118,Bang Saphan,TH,11.2126,99.5117,86.04,61,100,9.48,overcast clouds
119,Barrow,US,71.2906,-156.7887,-20.18,63,0,11.5,clear sky
120,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,93,40,9.22,scattered clouds
121,Saldanha,ZA,-33.0117,17.9442,66.96,76,0,13.96,clear sky
122,Merrill,US,45.1805,-89.6835,34.52,100,100,0.0,overcast clouds
123,Matamoros,MX,25.5333,-103.25,49.77,48,0,3.13,clear sky
124,Aksu,CN,41.1231,80.2644,37.36,25,0,2.1,clear sky
125,Luanda,AO,-8.8368,13.2343,78.31,65,51,3.87,broken clouds
126,Sinnamary,GF,5.3833,-52.95,74.68,90,66,7.4,broken clouds
127,Victoria,HK,22.2855,114.1577,78.19,75,9,11.99,clear sky
128,Manggar,ID,-2.8833,108.2667,83.61,70,100,4.07,overcast clouds
129,Englehart,CA,47.8169,-79.8664,12.76,85,100,4.61,overcast clouds
130,Fortuna,US,40.5982,-124.1573,50.92,87,0,12.66,clear sky
131,Marawi,PH,7.9986,124.2928,69.66,89,99,5.64,overcast clouds
132,Kruisfontein,ZA,-34.0033,24.7314,76.75,50,0,4.07,clear sky
133,Cidreira,BR,-30.1811,-50.2056,73.27,83,0,17.25,clear sky
134,Palmer,US,42.1584,-72.3287,34.47,86,0,0.0,clear sky
135,Thinadhoo,MV,0.5333,72.9333,81.5,70,70,4.92,broken clouds
136,Mehamn,NO,71.0357,27.8492,33.98,85,98,14.32,light snow
137,Mahon,ES,39.8885,4.2658,45.16,93,20,6.91,few clouds
138,Klaksvik,FO,62.2266,-6.589,38.32,69,82,21.41,broken clouds
139,Saint-Joseph,RE,-21.3667,55.6167,82.78,77,62,8.34,light rain
140,Maloy,NO,61.9353,5.1136,31.73,74,100,1.99,overcast clouds
141,San Marcos De Colon,HN,13.4333,-86.8,60.19,83,10,4.41,clear sky
142,Ahipara,NZ,-35.1667,173.1667,74.46,94,78,9.33,broken clouds
143,Zhigalovo,RU,54.8097,105.1578,-3.57,84,77,1.19,broken clouds
144,Tazovskiy,RU,67.4667,78.7,2.55,78,100,15.08,overcast clouds
145,Provideniya,RU,64.3833,-173.3,-18.38,92,15,8.84,few clouds
146,Bethel,US,41.3712,-73.414,38.8,70,0,0.0,clear sky
147,Hithadhoo,MV,-0.6,73.0833,81.39,69,100,5.57,light rain
148,Uribia,CO,11.7139,-72.266,73.94,85,26,9.48,scattered clouds
149,Ilulissat,GL,69.2167,-51.1,-0.38,71,100,3.44,overcast clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,72.43,87,100,4.72,overcast clouds
151,Saskylakh,RU,71.9167,114.0833,-4.9,94,37,8.95,scattered clouds
152,Maputo,MZ,-25.9653,32.5892,86.23,68,2,4.0,clear sky
153,Sangar,RU,63.9242,127.4739,-30.26,99,38,1.41,scattered clouds
154,Mahibadhoo,MV,3.7833,72.9667,82.27,65,100,11.23,overcast clouds
155,Teacapan,MX,22.55,-105.75,58.71,71,15,4.23,few clouds
156,Broken Hill,AU,-31.95,141.4333,83.91,14,4,19.57,clear sky
157,Buchanan,LR,5.8808,-10.0467,76.96,83,8,0.58,clear sky
158,Grenaa,DK,56.4158,10.8783,34.84,97,100,18.59,overcast clouds
